"","yield"
"LT0011.24",68.2827743593646
"LT0011.25",76.4305559917697
"LT0012.01",70.5344652985407
"LT0013.01",66.8355935725801
"LT0013.02",65.7578633064743
"LT0013.03",64.0195026932046
"LT0013.04",65.9350931401042
"LT0013.05",65.4736330110331
"LT0013.06",68.3603446408927
"LT0013.07",64.6982646894708
"LT0013.08",65.7877071098423
"LT0013.09",65.4760290721543
"LT0013.10",65.1737158606238
"LT0013.11",68.643344321783
"LT0013.12",68.0586852510725
"LT0013.13",65.2899752449803
"LT0013.14",66.0566004191927
"LT0013.15",67.652899849706
"LT0013.16",63.8474842991882
"LT0013.17",65.9552995830408
"LT0013.18",66.103059335843
"LT0013.19",68.5775582268861
"LT0013.20",64.147229381109
"LT0013.21",64.8705765465523
"LT0013.22",66.7586077049787
"LT0013.23",58.5602688912187
"LT0013.24",68.5480868984646
"LT0013.25",70.0874692599802
"LT0014.01",69.0225075859045
"LT0014.02",72.0899674436166
"LT0014.03",68.8542039589657
"LT0014.04",67.0504351120389
"LT0014.05",72.5550127310849
"LT0014.06",68.3486120100167
"LT0014.07",65.8490661037321
"LT0014.08",64.4457900032855
"LT0014.09",70.9183574084686
"LT0014.10",69.7826852243157
"LT0014.11",71.7402419956324
"LT0014.12",65.8910734781773
"LT0014.13",67.2725108542489
"LT0014.14",69.757043562773
"LT0014.15",63.972402484709
"LT0014.16",67.4881348057147
"LT0014.17",67.920409080683
"LT0014.18",63.7462645463724
"LT0014.19",71.4930315010232
"LT0014.20",65.0287982939034
"LT0014.21",68.4296086810974
"LT0014.22",66.838889680619
"LT0014.23",66.7143838107822
"LT0014.24",65.6659883808711
"LT0014.25",66.7511614948064
"LT0015.01",67.0455488471302
"LT0015.02",72.681622788996
"LT0015.03",64.971367420959
"LT0015.04",74.9232799388131
"LT0015.05",69.2565970890122
"LT0015.06",76.9759418834194
"LT0015.07",72.2411259956669
"LT0015.08",74.1439353070424
"LT0015.09",70.6017344599907
"LT0015.10",71.5742389026619
"LT0015.11",71.2497280959439
"LT0015.12",71.9307653525741
"LT0015.13",66.1499335254159
"LT0015.14",77.1243839105961
"LT0015.15",69.5417249478719
"LT0015.16",75.4936571998929
"LT0015.17",70.1062519597346
"LT0015.18",71.504017466593
"LT0015.19",70.8561183216446
"LT0015.20",73.2582071125852
"LT0015.21",71.2608922045964
"LT0015.22",73.9428909182413
"LT0015.23",72.408473261894
"LT0015.24",69.4093422601741
"LT0015.25",66.9656818519936
"LT0016.01",75.289703385314
"LT0016.02",77.0654442048109
"LT0016.03",77.1734597529149
"LT0016.04",74.7244082242274
"LT0016.05",70.9253419489857
"LT0016.06",76.891981311999
"LT0016.07",72.9779548645393
"LT0016.08",78.2666649766824
"LT0016.09",78.2539382855709
"LT0016.10",77.0291225914032
"LT0016.11",72.4588105149292
"LT0016.12",75.5030765000499
"LT0016.13",76.076445893135
"LT0016.14",79.4089312885954
"LT0016.15",75.5251291660313
"LT0016.16",75.938384932276
"LT0016.17",75.7114091999967
"LT0016.18",76.5155304181898
"LT0016.19",72.8935417587985
"LT0016.20",73.9354604125443
"LT0016.21",74.544708260627
"LT0016.22",72.500724734231
"LT0016.23",68.2832218626341
"LT0016.24",75.0344934597523
"LT0016.25",76.0588699629494
"LT0017.01",73.3947372651829
"LT0017.02",68.4204875202959
"LT0017.03",74.5394796883675
"LT0017.04",79.304992467431
"LT0017.05",71.6529958115047
"LT0017.06",70.8135398647248
"LT0017.07",69.290255939138
"LT0017.08",79.5869099567471
"LT0017.09",71.6433703105251
"LT0017.10",76.5090073306478
"LT0017.11",72.9661062746381
"LT0017.12",67.0754445261276
"LT0017.13",71.1080223999068
"LT0017.14",76.0860740347645
"LT0017.15",75.4364419252661
"LT0017.16",66.2452030968272
"LT0017.17",80.676856225607
"LT0017.18",75.3821762281663
"LT0017.19",62.2581408024224
"LT0017.20",74.6918615395339
"LT0017.21",75.414530373596
"LT0017.22",77.8504913073257
"LT0017.23",62.292173190277
"LT0017.24",73.2300895548788
"LT0017.25",70.9742952027905
"LT0018.01",65.7608295855013
"LT0018.02",67.7481703282671
"LT0018.03",68.4808472314376
"LT0018.04",69.1028246696059
"LT0018.05",65.301102752061
"LT0018.06",64.9393386306476
"LT0018.07",67.8228464593564
"LT0018.08",64.033942467495
"LT0018.09",68.8782007321795
"LT0018.10",65.1123648887874
"LT0018.11",68.1216229015111
"LT0018.12",68.106189476182
"LT0018.13",66.906683826715
"LT0018.14",64.7084253730307
"LT0018.15",67.9601618887582
"LT0018.16",69.0220368996685
"LT0018.17",71.039333879874
"LT0018.18",69.0570208642667
"LT0018.19",65.8521094064298
"LT0018.20",69.6018099105874
"LT0018.21",66.1059179056408
"LT0018.22",65.9965530889857
"LT0018.23",68.732352770563
"LT0018.24",68.5814320536886
"LT0018.25",70.2133689939795
"LT0019.01",78.513305165299
"LT0019.02",79.8005408376976
"LT0019.03",80.3219174529016
"LT0019.04",79.2248018207198
"LT0019.05",79.3609344711761
"LT0019.06",80.1232727708942
"LT0019.07",78.4718509499841
"LT0019.08",79.1883097300242
"LT0019.09",75.3234549985218
"LT0019.10",80.2364711645607
"LT0019.11",79.1608634237883
"LT0019.12",78.4926239081153
"LT0019.13",80.2053506517268
"LT0019.14",76.6892114544634
"LT0019.15",78.3033568570664
"LT0019.16",75.8053024557724
"LT0019.17",75.5180229527099
"LT0019.18",79.9383373168359
"LT0019.19",78.2061037423997
"LT0019.20",76.7433012812574
"LT0019.21",74.6695079284039
"LT0019.22",77.6275877186341
"LT0019.23",78.6701922042175
"LT0019.24",78.111261867856
"LT0019.25",78.559042533456
"LT0020.01",74.8509412952096
"LT0020.02",79.0742028432993
"LT0020.03",74.9501630242979
"LT0020.04",70.6561420470417
"LT0020.05",73.9627523478652
"LT0020.06",75.2267916368942
"LT0020.07",71.8674245663792
"LT0020.08",74.9519076309304
"LT0020.09",73.5605504590604
"LT0020.10",75.2343899316674
"LT0020.11",73.6472736492015
"LT0020.12",73.4569219443619
"LT0020.13",76.0248591189939
"LT0020.14",69.8322829453205
"LT0020.15",73.4763660203394
"LT0020.16",73.0139011822945
"LT0020.17",75.7174988989284
"LT0020.18",76.3043118624672
"LT0020.19",74.9398666633111
"LT0020.20",75.7309736573582
"LT0020.21",72.809585243501
"LT0020.22",74.9509303703152
"LT0020.23",75.4270922281771
"LT0020.24",70.7130115663719
"LT0020.25",71.6240619307858
"LT0021.01",71.9131285775059
"LT0021.02",70.5741157838086
"LT0021.03",69.1122425150171
"LT0021.04",70.3483581328355
"LT0021.05",74.1783915172482
"LT0021.06",71.2803667384262
"LT0021.07",71.4957356403154
"LT0021.08",69.4872002256402
"LT0021.09",73.8839983647741
"LT0021.10",71.0042560758592
"LT0021.11",72.6599431899617
"LT0021.12",72.4988903437881
"LT0021.13",71.319594835978
"LT0021.14",68.6841921455802
"LT0021.15",71.0018209137156
"LT0021.16",72.8025059246864
"LT0021.17",73.1829795064442
"LT0021.18",73.990175622611
"LT0021.19",73.2274793941891
"LT0021.20",71.1046623766967
"LT0022.01",71.8141234502382
"LT0022.02",77.5030550267572
"LT0022.03",72.139027689752
"LT0023.01",74.1708974405198
"LT0023.02",72.1257073612697
"LT0023.03",76.1195339283618
"LT0023.04",77.6473920115752
"LT0023.05",75.7035138544889
"LT0023.06",73.7289696140836
"LT0023.07",73.4435676778394
"LT0023.08",76.953151409227
"LT0023.09",74.9245922392481
"LT0023.10",72.5512784974665
"LT0023.11",76.2605388408593
"LT0023.12",75.0667487864101
"LT0023.13",74.4506968224167
"LT0023.14",76.8435009409504
"LT0023.15",74.7326246896207
"LT0023.16",82.2000281651303
"LT0023.17",75.6374741925078
"LT0023.18",73.0324975739092
"LT0023.19",76.4649866124607
"LT0023.20",74.6909502012372
"LT0023.21",80.0290342262118
"LT0023.22",76.2916144383573
"LT0023.23",77.6634111332389
"LT0023.24",73.9869558193299
"LT0023.25",76.6790851486581
"LT0024.01",75.0059127419515
"LT0024.02",74.1074910888046
"LT0024.03",75.5510449573864
"LT0024.04",75.8916500055254
"LT0024.05",78.3462536684893
"LT0024.06",78.771911081353
"LT0024.07",77.7095473474521
"LT0024.08",77.1556488818033
"LT0024.09",77.7879710417645
"LT0024.10",76.37038484079
"LT0024.11",77.6039868197903
"LT0024.12",76.1016791824932
"LT0024.13",77.3361591454573
"LT0024.14",78.2528598815984
"LT0024.15",77.516962130281
"LT0024.16",73.9860117191326
"LT0024.17",74.2083695849866
"LT0024.18",74.1039850911864
"LT0024.19",76.3028215396246
"LT0024.20",77.0470504387502
"LT0024.21",78.222084635816
"LT0024.22",71.9900800065014
"LT0024.23",73.0976362800762
"LT0024.24",78.2474534463098
"LT0024.25",75.6223828464474
"LT0025.01",78.1710815474098
"LT0025.02",72.0904824395608
"LT0025.03",73.8946377982531
"LT0025.04",75.8725046338346
"LT0025.05",76.3197940164307
"LT0025.06",75.6844501143178
"LT0025.07",74.2623305550278
"LT0025.08",77.6028551977912
"LT0025.09",80.2647216632533
"LT0025.10",77.4092229102382
"LT0025.11",74.2653706170478
"LT0025.12",80.2587244469768
"LT0025.13",76.5833034761222
"LT0025.14",74.6331845906508
"LT0025.15",75.5053475741337
"LT0025.16",73.5080496971359
"LT0025.17",75.5541093481576
"LT0025.18",74.1752512005122
"LT0025.19",74.444937271725
"LT0025.20",75.6762513663724
"LT0025.21",75.5780151134518
"LT0025.22",75.8645749043671
"LT0025.23",75.140614803336
"LT0025.24",74.4141986664705
"LT0025.25",77.2792456635818
"LT0026.01",75.2954353015104
"LT0026.02",72.7550003199806
"LT0026.03",74.7958926103882
"LT0026.04",75.2832820527085
"LT0026.05",76.9374684139036
"LT0026.06",75.0621714781299
"LT0026.07",76.4297144450142
"LT0026.08",77.034632335779
"LT0026.09",74.4345008041205
"LT0026.10",77.0733727320345
"LT0026.11",71.2831014752733
"LT0026.12",75.4328095024144
"LT0026.13",72.1671095249527
"LT0026.14",75.4699781135101
"LT0026.15",76.1660209434422
"LT0026.16",75.7535330210352
"LT0026.17",75.360199813069
"LT0026.18",74.5250066545864
"LT0026.19",71.2652229290915
"LT0026.20",77.0251852963338
"LT0026.21",76.8235646545222
"LT0026.22",73.8886936934471
"LT0026.23",75.2346477472622
"LT0026.24",75.7399533167797
"LT0026.25",74.5532506702332
"LT0027.01",78.4959280440943
"LT0027.02",69.8006343247186
"LT0027.03",79.1383314788114
"LT0027.04",77.6042236147276
"LT0027.05",73.1787003509724
"LT0027.06",66.029081276953
"LT0027.07",76.683717960489
"LT0027.08",76.9440224716988
"LT0027.09",80.158731553156
"LT0027.10",66.9838092332485
"LT0027.11",80.3861210227871
"LT0027.12",79.7320700007575
"LT0027.13",81.330250907819
"LT0027.14",77.7921466788822
"LT0027.15",81.7815368463808
"LT0027.16",64.5877889132744
"LT0027.17",78.6171835180129
"LT0027.18",77.7405203627024
"LT0027.19",80.1860444065039
"LT0027.20",68.7880004455311
"LT0027.21",80.6078332449556
"LT0027.22",80.326352376644
"LT0027.23",67.3606055085911
"LT0027.24",80.1746906509557
"LT0027.25",75.1271515375383
"LT0028.01",74.4895063098504
"LT0028.02",77.2613457961971
"LT0028.03",76.0113069245653
"LT0028.04",75.9365308578149
"LT0028.05",74.8796976647108
"LT0028.06",77.9317169385593
"LT0028.07",79.4032608325887
"LT0028.08",78.5734358956376
"LT0028.09",74.9970862727258
"LT0028.10",75.877001544484
"LT0028.11",77.8253608161783
"LT0028.12",76.628065696891
"LT0028.13",72.6505944037766
"LT0028.14",75.0494293639588
"LT0028.15",73.6267685321929
"LT0028.16",74.7592563563164
"LT0028.17",73.8538960701791
"LT0028.18",75.4003428695285
"LT0028.19",73.4779602370838
"LT0028.20",77.7446181990621
"LT0028.21",78.7283810648758
"LT0028.22",76.8997927955975
"LT0028.23",76.3629967283553
"LT0028.24",74.3943582660635
"LT0028.25",80.0344978128215
"LT0029.01",79.007088421985
"LT0029.02",77.6508689039533
"LT0029.03",80.1232649642475
"LT0029.04",76.4523973467695
"LT0030.01",73.5471879271645
"LT0030.02",71.3027058965024
"LT0030.03",71.4405687782923
"LT0030.04",73.7964661326714
"LT0030.05",73.1331850862156
"LT0030.06",75.5036685389333
"LT0030.07",73.7979840252936
"LT0030.08",72.4535127422029
"LT0030.09",75.1402298847547
"LT0030.10",73.1221818277824
"LT0030.11",75.9409828152112
"LT0030.12",70.6922893511781
"LT0030.13",72.7890907653907
"LT0030.14",76.2858372899578
"LT0030.15",75.2527526245147
"LT0030.16",73.6853202141359
"LT0030.17",75.8282323717238
"LT0030.18",75.7443188047017
"LT0030.19",72.3786478244733
"LT0030.20",73.353758622941
"LT0030.21",72.0891120214366
"LT0030.22",72.6367203998962
"LT0030.23",72.4734423369933
"LT0030.24",74.0833159281459
"LT0030.25",72.4774359130145
"LT0031.01",61.3752892137151
"LT0031.02",63.1121999081507
"LT0031.03",63.6776833780677
"LT0031.04",65.8240308591018
"LT0031.05",65.0586991461917
"LT0031.06",65.4436317685913
"LT0031.07",64.3724116129988
"LT0031.08",62.3916733740057
"LT0031.09",66.5004948106771
"LT0031.10",67.097867191559
"LT0031.11",62.7196523511403
"LT0031.12",64.1872074563151
"LT0031.13",65.7942276178387
"LT0031.14",63.7328748268065
"LT0031.15",64.3854593575177
"LT0031.16",59.7249707033679
"LT0031.17",67.5532724916291
"LT0031.18",63.2987116609814
"LT0031.19",64.5876240907077
"LT0031.20",60.7522684613413
"LT0031.21",59.9930356553862
"LT0031.22",63.172671895064
"LT0031.23",62.7741119468928
"LT0031.24",64.4000019514636
"LT0031.25",66.5421214971867
"LT0032.01",74.7795784134284
"LT0032.02",75.1087258486382
"LT0032.03",77.0655899172308
"LT0032.04",75.4177590641538
"LT0032.05",78.5501016394148
"LT0032.06",73.8466689801245
"LT0032.07",74.6185259046399
"LT0032.08",73.0543822919927
"LT0032.09",76.0458778536009
"LT0032.10",73.8038711947867
"LT0032.11",78.1013152442533
"LT0032.12",75.4100597461616
"LT0032.13",74.4781425180112
"LT0032.14",75.6854889108077
"LT0032.15",74.2626391574218
"LT0032.16",75.1327504232691
"LT0032.17",76.8117001867993
"LT0032.18",74.2550888848086
"LT0032.19",76.954138466439
"LT0032.20",77.1497537728837
"LT0032.21",77.4439513005791
"LT0032.22",74.2419888740682
"LT0032.23",73.397933237849
"LT0032.24",72.629278683552
"LT0032.25",74.606827540399
"LT0033.01",74.7544099280824
"LT0033.02",78.3650962377319
"LT0033.03",80.1018429277497
"LT0033.04",77.4668329353861
"LT0033.05",78.0042871721178
"LT0033.06",75.9589979519121
"LT0033.07",79.5634950376686
"LT0033.08",76.7115527366581
"LT0033.09",74.2926654796991
"LT0033.10",74.9066414738412
"LT0033.11",81.9609958006267
"LT0033.12",76.5682953020341
"LT0033.13",81.2694241622007
"LT0033.14",78.9401894279266
"LT0033.15",78.2237811187585
"LT0033.16",75.0452061899697
"LT0033.17",82.2494181399064
"LT0033.18",82.062027590827
"LT0033.19",75.4968891883259
"LT0033.20",79.3870280761979
"LT0033.21",76.5919291368241
"LT0033.22",79.2171268318271
"LT0033.23",76.06406322178
"LT0033.24",80.1245621759303
"LT0033.25",78.0415117373091
"LT0034.01",80.0955881477515
"LT0034.02",79.0928315837719
"LT0034.03",79.6113045390048
"LT0034.04",76.2436350505029
"LT0034.05",78.0550785864792
"LT0034.06",77.6833504120323
"LT0034.07",76.5174654541116
"LT0034.08",81.1474515548111
"LT0034.09",79.7072719385276
"LT0034.10",80.2878754578573
"LT0034.11",77.1354521977875
"LT0034.12",77.7579052320809
"LT0034.13",79.331985399848
"LT0034.14",76.2419084491042
"LT0034.15",78.6361560457099
"LT0034.16",75.3448248895409
"LT0034.17",76.4432611560314
"LT0034.18",80.6856064824056
"LT0034.19",80.9168355863641
"LT0034.20",74.5652771027877
"LT0034.21",76.8769169162371
"LT0034.22",80.6381165964076
"LT0034.23",79.2848498445721
"LT0034.24",80.3135833121057
"LT0034.25",75.4967175053146
"LT0035.01",72.4756803144818
"LT0035.02",71.1622507513508
"LT0035.03",73.9506335322169
"LT0035.04",70.4490142256183
"LT0035.05",73.6346039969233
"LT0035.06",71.7335196801947
"LT0035.07",72.5781479917268
"LT0035.08",66.3628167152293
"LT0035.09",76.1038573000861
"LT0035.10",72.0261385725224
"LT0035.11",71.1698926706267
"LT0035.12",70.7962316815323
"LT0035.13",72.2739018362575
"LT0035.14",71.9624253826072
"LT0035.15",69.4410853673911
"LT0035.16",72.9386445638552
"LT0035.17",72.5107203299046
"LT0035.18",71.7831707925299
"LT0035.19",74.0801459186296
"LT0035.20",71.5150744880386
"LT0035.21",71.2392452179801
"LT0035.22",73.6727137433491
"LT0035.23",74.0213661440666
"LT0035.24",73.3019404417075
"LT0035.25",76.0729400153819
"LT0036.01",69.5603674057725
"LT0036.02",71.7607319854412
"LT0036.03",77.1727966810362
"LT0036.04",69.771063665438
"LT0036.05",72.5766025137376
"LT0036.06",75.1855023037146
"LT0036.07",72.0445861077386
"LT0036.08",72.2732659952708
"LT0036.09",70.738251115585
"LT0036.10",70.0640617899654
"LT0036.11",67.5427191485086
"LT0036.12",71.2646935568943
"LT0036.13",71.1901410101905
"LT0036.14",69.4671997798739
"LT0036.15",72.9921649528818
"LT0036.16",70.0809054239195
"LT0036.17",74.5168315935927
"LT0036.18",70.8662185460663
"LT0036.19",78.6310715638202
"LT0036.20",71.8564410638993
"LT0036.21",72.5637156025671
"LT0036.22",68.6059569617703
"LT0036.23",69.1191986953155
"LT0036.24",73.1592124626013
"LT0036.25",70.0509860327163
"LT0037.01",76.6014106751932
"LT0037.02",68.4341554688675
"LT0037.03",80.8131152908855
"LT0037.04",73.0336201645424
"LT0037.05",74.7005536517099
"LT0037.06",63.9412946781292
"LT0037.07",75.4161818311189
"LT0037.08",77.8568229150502
"LT0037.09",77.697949723773
"LT0037.10",64.88723484327
"LT0037.11",75.6538917114907
"LT0037.12",75.5216252448962
"LT0037.13",75.3811193844873
"LT0037.14",66.7969634549923
"LT0037.15",75.0845894685014
"LT0037.16",76.4738408503121
"LT0037.17",66.6856289740872
"LT0037.18",73.7172818284455
"LT0037.19",79.0004590272528
"LT0037.20",77.5319914233784
"LT0037.21",65.5358171726735
"LT0037.22",75.3109256662825
"LT0037.23",76.4512601850791
"LT0037.24",81.7920240149103
"LT0037.25",64.1582552723736
"LT0038.01",79.5563589812563
"LT0038.02",77.4252121216069
"LT0038.03",77.145360971626
"LT0038.04",79.57382977211
"LT0038.05",75.2195103772611
"LT0038.06",75.8951909943562
"LT0038.07",76.2786579706185
"LT0038.08",77.5700019884845
"LT0038.09",76.857699240705
"LT0038.10",78.1609001192362
"LT0038.11",76.7578193459448
"LT0038.12",77.3105793069017
"LT0038.13",76.8219480106738
"LT0038.14",75.8659554059495
"LT0038.15",74.9770031945929
"LT0038.16",76.9977964017694
"LT0038.17",78.3279464021484
"LT0038.18",77.0663221484748
"LT0038.19",73.8169851962984
"LT0038.20",75.2532319720832
"LT0038.21",77.0385300103231
"LT0038.22",76.7783286573597
"LT0038.23",73.370619279084
"LT0038.24",75.6247847579974
"LT0038.25",76.6433594923996
"LT0039.01",75.8941367460753
"LT0039.02",75.0130720864763
"LT0039.03",75.3857621494649
"LT0039.04",77.1079332877696
"LT0039.05",75.7273855872166
"LT0039.06",73.7819935599198
"LT0039.07",76.1616562967861
"LT0039.08",76.1849588439233
"LT0039.09",71.0635643273203
"LT0039.10",75.6977121841141
"LT0039.11",77.8009152147092
"LT0039.12",74.2665071365635
"LT0039.13",75.6259328945529
"LT0039.14",76.5211186334643
"LT0039.15",73.9525198654807
"LT0039.16",79.4221930378558
"LT0039.17",75.6043129674171
"LT0039.18",75.5066945713826
"LT0039.19",73.0396505066453
"LT0039.20",73.308079475558
"LT0039.21",76.0213270187019
"LT0039.22",75.0274237558464
"LT0039.23",74.9636300018999
"LT0039.24",75.3487574338135
"LT0039.25",73.6867669614371
"LT0040.01",70.4470015247513
"LT0040.02",72.8871696545255
"LT0040.03",73.1892633101221
"LT0040.04",71.396992721798
"LT0040.05",71.1470334179981
"LT0040.06",70.8452642795179
"LT0040.07",74.8858703229067
"LT0040.08",67.902699991262
"LT0040.09",70.6576298543577
"LT0040.10",68.5085257595914
